# STM32F103C8T6 Emulation Log
# ELF File: akas_working_space/test_driver/firmware.elf
# Start Time: 2025-10-25 00:45:30
# Entry Point: 0x8000119
# Memory Layout:
# 	Flash: 0x8000000 - 0x801ffff
# 	SRAM:  0x20000000 - 0x20004fff
# Format: ADDRESS: FILE:LINE (FUNCTION)
#

[0x08000118] ldr.w    sp, [pc, #0x2c]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:102:0 (Reset_Handler)
[0x0800011c] ldr      r0, [pc, #0x2c]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:105:0 (Reset_Handler)
[0x0800011e] ldr      r1, [pc, #0x30]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:106:0 (Reset_Handler)
[0x08000120] ldr      r2, [pc, #0x30]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:107:0 (Reset_Handler)
[0x08000122] movs     r3, #0
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:108:0 (Reset_Handler)
[0x08000124] cmp      r1, r2
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:110:0 (copy_data)
[0x08000126] bge      0x8000130
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:111:0 (copy_data)
[0x08000130] ldr      r0, [pc, #0x24]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:119:0 (copy_done)
[0x08000132] ldr      r1, [pc, #0x28]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:120:0 (copy_done)
[0x08000134] movs     r2, #0
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:121:0 (copy_done)
[0x08000136] cmp      r0, r1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:123:0 (clear_bss)
[0x08000138] bge      0x8000140
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:124:0 (clear_bss)
[0x0800013a] str      r2, [r0], #4
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:125:0 (clear_bss)
[0x0800013e] b        0x8000136
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:126:0 (clear_bss)
[0x08000136] cmp      r0, r1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:123:0 (clear_bss)
[0x08000138] bge      0x8000140
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:124:0 (clear_bss)
[0x0800013a] str      r2, [r0], #4
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:125:0 (clear_bss)
[0x0800013e] b        0x8000136
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:126:0 (clear_bss)
[0x08000136] cmp      r0, r1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:123:0 (clear_bss)
[0x08000138] bge      0x8000140
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:124:0 (clear_bss)
[0x0800013a] str      r2, [r0], #4
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:125:0 (clear_bss)
[0x0800013e] b        0x8000136
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:126:0 (clear_bss)
[0x08000136] cmp      r0, r1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:123:0 (clear_bss)
[0x08000138] bge      0x8000140
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:124:0 (clear_bss)
[0x0800013a] str      r2, [r0], #4
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:125:0 (clear_bss)
[0x0800013e] b        0x8000136
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:126:0 (clear_bss)
[0x08000136] cmp      r0, r1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:123:0 (clear_bss)
[0x08000138] bge      0x8000140
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:124:0 (clear_bss)
[0x0800013a] str      r2, [r0], #4
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:125:0 (clear_bss)
[0x0800013e] b        0x8000136
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:126:0 (clear_bss)
[0x08000136] cmp      r0, r1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:123:0 (clear_bss)
[0x08000138] bge      0x8000140
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:124:0 (clear_bss)
[0x08000140] bl       0x8000288
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/startup.s:130:0 (clear_done)
[0x08000288] push     {r4, r6, r7, lr}
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:16:0 (main)
[0x0800028a] add      r7, sp, #8
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:16:0 (main)
[0x0800028c] sub      sp, #0x50
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:16:0 (main)
[0x0800028e] movs     r1, #0
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:16:0 (main)
[0x08000290] str      r1, [sp, #0x10]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:16:0 (main)
[0x08000292] str      r1, [sp, #0x4c]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:16:0 (main)
[0x08000294] movs     r0, #1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:16:0 (main)
[0x08000296] str      r0, [sp, #0x48]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:23:5 (main)
