# STM32F103C8T6 Emulation Log
# ELF File: elf/firmware.elf
# Start Time: 2025-07-29 15:39:18
# Entry Point: 0x8000175
# Memory Layout:
#   Flash: 0x8000000 - 0x800ffff
#   SRAM:  0x20000000 - 0x20004fff
# Format: ADDRESS: HEX_BYTES
#

0x08000174: df f8 2c d0
0x08000178: 0b 48
0x0800017a: 0c 49
0x0800017c: 0c 4a
0x0800017e: 00 23
0x08000180: 91 42
0x08000182: 03 da
0x0800018c: 09 48
0x0800018e: 0a 49
0x08000190: 00 22
0x08000192: 88 42
0x08000194: 02 da
0x0800019c: ff f7 c4 ff
0x08000128: 80 b5
0x0800012a: 00 af
0x0800012c: 0d 4b
0x0800012e: 1b 68
# ERROR: INVALID MEMORY ACCESS: 0x1073877016 (size: 4)
